Date Event Began,Time Evet Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Event Type ,Demand Loss (MW),Number of Customers Affected 
1/4/2005,6:00 p.m. ,1/14/2005, 12:00 p.m.,Eastern one third of the state of Kansas,SPP,Winter Storm,200,211000
1/5/2005,4:00 p.m.,1/13/2005, 6:00 p.m.,Akron and Mansfield areas,ECAR,Ice Storm,250,246990
1/5/2005,9:10 p.m.,1/16/2005, 11:00 a.m.,Indiana Michigan Region - Muncie District,ECAR,Winter Ice Storm,545,114791
1/7/2005,1:00 p.m.,1/10/2005, 8:00 a.m.,Northern California,WECC,Winter Storm,120,442000
 1/19/05,9:17 a.m.,1/19/2005, 9:27 a.m.,Island of Puerto Rico,PR,Voltage Reduction,209,0
1/23/2005,10:42 a.m.,1/23/2005, 11:24 a.m.  ,Island of Puerto Rico,PR,Voltage Reduction,140,0
1/24/2005,6:38 a.m.,1/24/2005, 6:50 a.m.,Island of Puerto Rico,PR,Voltage Reduction/Shed Load,225,70717
1/24/2005,12:27 p.m.,1/24/2005, 12:34 p.m.,Island of Puerto Rico,PR,Voltage Reduction/Shed Load,385,0
1/29/2005,10:00 a.m.,1/31/2005, 10:00 a.m,Parts of Alabama and Georgia,SERC,Ice Storm,100,150000
1/29/2005,4:00 p.m.,1/30/2005, 3:00 p.m.,Georgia,SERC,Ice Storm,100,82000
2/1/2005,5:78 p.m.,2/1/2005, 6:01 p.m.,Island of Puerto Rico,PR,Voltage Reduction,460,0
2/15/2005,1:12 p.m.,2/15/05 1:30 p.m.,,Island of Puerto Rico,PR,Generator Loss,380,0
2/16/2005,1:26 p.m. ,2/16/2005, 1:43 p.m.,Island of Puerto Rico,PR,Load Shedding,325,139438
2/18/2005,8:16 a.m.,2/18/2005, 8:41 a.m.,Island of Puerto Rico,PR,Generator Loss/Voltage Reduction,648,372288
2/24/2005,12:58 a.m.,2/24/2005, 1:05 a.m.,Island of Puerto Rico,PR,Voltage Reduction,200,0
3/8/2005,11:00 a.m.,3/8/2005, 3:00 p.m.,Eastern and Central North Carolina,SERC,Wind Storms,180,51600
4/1/2005,Midnight,4/6/2005, 12:00 p.m. ,"Cleveland, Ohio and northeast Ohio ",ECAR,Winter Storm,0,211000
4/22/2005,3:51 p.m.,4/22/2005, 3:59 p.m.,"San Francisco Bay area, California",WECC,Lightning Strike,126,0
4/23/2005,4:22 a.m.,4/23/2005, 4:48 a.m.,Island of Puerto Rico,PR,Voltage Reduction,345,116552
4/23/2005,6:00 a.m,4/27/2005, 6:00 a.m.,"Cleveland, Ohio and northeast Ohio ",ECAR,Winter Storm,0,150000
4/30/2005,8:00 a.m.,4/30/2005, 10:00 a.m.,Alabama and Georgia,SERC,Thunderstorms,100,51808
5/8/2005,3:00 p.m.,5/8/2005, 10:00 p.m.,"Houston, Texas and surrounding suburban areas",ERCOT,Strong Thunderstorms,672,243000
5/11/2005,7:00 p.m.,5/11/2005, 8:31 p.m.,Island of Puerto Rico,PR,Voltage Reduction,529,0
5/29/2005,8:00 p.m.,5/30/2005, 2:30 a.m.,"Houston, Texas and surrounding suburban areas",ERCOT,Strong Thunderstorms,328,123000
6/5/2005,2:00 p.m.,6/10/2005, 7:30 a.m.,Southeast  Michigan,ECAR,Strong Thunderstorm/High Winds,1826,201580
6/5/2005,2:00 p.m.,6/7/2005, 6:00 p.m.,Portions of  the southern 2/3 of  Michigan's Lower Peninsula,ECAR,Strong Thunderstorm,60,105000
6/6/2005,12:00 p.m.,6/8/2005, 6:00 p.m.,Central/Eastern New York state,NPCC,Strong Thunderstorms,0,65000
6/6/2005,4:43  p.m.,6/7/2005, 10:00 p.m.,"Bucks, Montgomery, Delaware, Chester, Philadelphia counties, Pennsylvania",MAAC,Strong Thunderstorm,0,143000
6/8/2005,4:00 a.m.,6/10/2005, 10:00 p.m.,Minnesota,MRO,Strong Thunderstorm,100,300000
6/20/2005,11:16 a.m.,6/20/2005, 5:15 pm.,Island of Puerto Rico,PR,Voltage Reduction,35,600000
6/24/2005,8:37 p.m.,6/24/2005, 11:06 p.m.,"Chicago, Illinois",MAIN,Transmission Equipment Failure,350,51500
6/28/2005,11:30 a.m.,Ongoing,,Denver Metropolitan area of Colorado,WECC,Fuel Supply Deficiency/Coal Rail Transportation Interruption,0,0
6/29/2005,4:30 p.m.,7/4/2005, 11:30 p.m.,Southeast  Michigan,ECAR,Strong Thunderstorm/High Winds,1000,114711
