Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Event Type,Demand Loss (MW),Number of Customers Affected
1/14/2006,3:45 p.m.,1/16/2006,5:30 p.m.,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",RFC,High Winds,0,142315
1/18/2006,3:16 p.m.,1/18/2006,6:34 p.m.,Southern and Central Maine,NPCC,Severe Storm,75,63000
2/4/2006,1:34 a.m.,2/6/2006,12:01 a.m.,"Snohomish County, Washington",WECC,Strong Winds,150,123827
2/4/2006,4:30 a.m.,2/8/2006,8:00  a.m.,Western Washington,WECC,Severe Windstorm,0,140000
2/11/2006,9:00 p.m.,2/14/2006,11:00 p.m.,Baltimore Metropolitan and Central Maryland,RFC,Major Snow Storm,500,180000
2/12/2006,12:06 a.m.,2/14/2006,5:44 p.m.,"Washington DC, Montgomery and Prince Georges Counties MD",RFC,Major Snow Storm,300,60000
2/12/2006,2:00 a.m.,2/14/2006,4:00 p.m.,Entire Atlantic City Electric territory Southern New Jersey,RFC,Winter Snow/Ice Storm,80,130000
2/12/2006,2:00 a.m.,2/13/2006,7:00 a.m.,Entire Delmarva Power service territory,RFC,Winter Snow/Ice Storm,50,58000
2/12/2006,5:55 a.m.,2/12/2006,2:00 p.m.,Northern and Northwestern Virginia,RFC,Severe Snow Storm,250,126000
2/16/2006,12:00 p.m.,2/10/2006,11:00 p.m.,"Muskegon, Michigan easterly to Bay City, Michigan",RFC,Severe Thunderstorm/ Snow/Ice Storm,100,252089
2/16/2006,Ongoing,2/1g/2006,,North Dakota,MRO,Fuel Supply - Deficiency Coal Rail Transportation Interruption,1650,0
2/17/2006,4:32 a.m.,2/17/2006,12:00 p.m.,Upstate New York,NPCC,Severe Weather,250,200000
2/18/2006,8:50 a.m.,2/18/2006,4:09 p.m.,Colorado,WECC,Inadequate Electric Resources to Serve Load,428,0
2/27/2006,6:25 p.m.,2/27/2006,2:30 p.m.,Northern and Central California,WECC,Severe Winter Storm,0,160000
3/9/2006,2:00 p.m.,3/9/2006,10:00 p.m.,"Arkansas, Mississippi, Louisiana, Southeast Texas",SERC,Severe Weather,0,73000
3/12/2006,8:30 p.m.,3/12/2006,12:00 p.m.,"Springfield, Illinois and vicinity",RFC,Severe Weather,200,65400
4/2/2006,9:00 p.m.,4/2/2006,4:25 a.m.,Southern half of Indiana,RFC,Major Storms/Tornadoes,1000,186000
4/7/2006,8:43 a.m.,4/7/2006,9:29 a.m.,Island of Puerto Rico,PR,Voltage Reduction/Load Shed,116,54700
4/8/2006,4:00 a.m.,4/8/2006,11:00 a.m.,North and Central Alabama and Northern Georgia areas,SERC,Severe Weather/ Tornadoes,300,115589
4/17/2006,3:25 p.m.,4/17/2006,7:30 p.m.,ERCOT Region of Texas,ERCOT,Load Shed/Declared EECP,1000,200000
4/17/2006,4:10 p.m.,4/17/2006,6:11 p.m.,System-wide greater Houston metro area (and across ERCOT),ERCOT,Load Shed/Made Public Appeals/Rolling Blackouts,260,68000
4/17/2006,4:11 p.m.,4/17/2006,7:20 p.m.,North and East Texas,ERCOT,Load Shed/ Declared EECP,380,489478
4/17/2006,4:20 p.m.,4/17/2006,6:30 p.m.,State of Texas (all of Austin Energy),ERCOT,Load Shed/Made Public Appeals/Rolling Blackouts,40,10000
4/17/2006,4:35 p.m.,4/17/2006,6:10 p.m.,AEP Texas Central/Texas North,ERCOT,Load Shed/Declared EECP,108,51404
4/21/2006,7:00 a.m.,4/21/2006,10:00 a.m.,System-wide greater Houston metro area,ERCOT,Severe Weather,219,82000
4/29/2006,2:55 p.m.,4/29/2006,3:45 p.m.,Island of Puerto Rico,PR,Lightning Storm,237,164105
5/3/2006,3:30 p.m.,5/3/2006,9:35 p.m.,City of Bakersfield area,WECC,Transmission Equipment Failure/Fire,300,55655
5/4/2006,2:12 p.m.,5/4/2006,2:45 p.m.,Island of Puerto Rico,PR,Load Shed,140,94639
5/19/2006,3:13 p.m.,5/19/2006,10:30 p.m.,"San Francisco Bay area, California",WECC,Lightning Strike,133,0
