Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected, NERC Region,Event Type,Demand Loss (MW),Number of Customers Affected
1/5/2007,10:44 a.m.,1/5/2007,11:13 a.m.,Island of Puerto Rico,PR,Voltage Reduction,0,0
1/13/2007,5:00 a.m.,1/19/2007,12:00 p.m.,Missouri and Illinois,MRO,Ice Storm,N/A,"225,000"
1/13/2007,7:30 a.m.,1/1/2007,4:00 p.m.,Eastern and Lower Michigan,RFC,Ice Storm,500,"129,607"
1/16/2007,2:00 a.m.,1/17/2007,12:00 a.m.,"Snohomish County, Washington",WECC,Major Windstorm,260,"110,433"
2/13/2007,2:00 p.m.,2/116/2007,12:00 a.m.,Indiana and Southwest Ohio,RFC,Ice/Wind Storm,250,"367,500"
2/13/2007,5:00 p.m.,2/17/2007,5:30 a.m.,Central Maryland,RFC,Winter Storm,400,"155,183"
2/24/2007,4:00 p.m.,2/24/2007,12:57 a.m.,"NE quarter of State of Iowa and Rock Island, Illinois",MRO,Ice Storm,210,"75,000"
2/24/2007,6:00 p.m.,2/224/2007,11:47 p.m.,Central Iowa and Cedar Rapids areas,MRO,Ice Storm,400,"140,000"
2/24/2007,7:23 p.m.,2/225/2007,12:47 a.m.,"Cedar Rapids, Iowa",RFC,Ice Storm,750,"215,000"
2/28/2007,12:45 a.m.,2/22/2007,8:45 p.m.,Northern California,WECC,Winter Storm,110,"671,189"
3/1/2007,9:40 p.m.,3/2/2007,11:30 p.m.,"Parts of Alabama, Mississippi, Georgia, Florida",SERC,Major Storm,95,"25,445"
3/31/2007,7:30 a.m.,3/31/2007,7:00 p.m.,"Houston, Texas",ERCOT,Severe Thunderstorms,179,"67,000"
4/5/2007,9:20 p.m.,4/6/2007,1:10 p.m.,Southern and Coastal Maine,NPCC,Heavy Snow Storm,-,"117,142"
4/12/2007,12:32 a.m.,4/12/2007,9:02 p.m.,"City of Los Angeles, California",WECC,High Winds,200,"158,977"
4/12/2007,9:09 a.m.,4/12/2007,11:23 a.m.,"San Francisco Bay Area, California",WECC,Trip of a Unit,130,-
4/14/2007,9:00 a.m.,4/14/2007,11:00 a.m.,"Massachusetts, New Hampshire, Rhode Island",NPCC,High Winds,65-80,"70,000"
4/16/2007,8:00 a.m.,4/16/2007,7:00 p.m.,New Hampshire,NPCC,Severe Thunderstorms,-,"102,568"
4/16/2007,10:14 a.m.,4/18/2007,10:18 p.m.,Southern and Coastal Maine,NPCC,Heavy Snow Storm,-,"127,545"
4/16/2007,11:00 a.m.,4/16/2007,7:00 p.m.,North and South Carolina,SERC,HIgh Winds,-,"33,000"
4/16/2007,2:00 p.m.,4/18/2007,5:00 p.m.,Central Maryland - Baltimore City and surrounding Counties,RFC,Severe Thunderstorms,160,"138,000"
4/16/2007,2:04 p.m.,4/16/2007,7:03 p.m.,"North, East and Central Virginia/Parts of Northeast North Carolina",SERC,High Winds,90,"242,000"
5/2/2007,1:30 p.m.,5/3/2007,8:00 p.m.,"North Texas, Dallas Fort Worth Metroplex and Surrounding Counties, South to Waco and North to Red River",ERCOT,Severe Storms,-,"300,000"
5/10/2007,9:57 a.m.,5/10/2007,1:47 p.m.,"San Francisco Bay Area, California",WECC,Unit Tripped,150,-
5/14/2007,11:15 a.m.,5/14/2007,1:50 p.m.,"San Francisco Bay Area, California",WECC,Unit Tripped,150,-
5/15/2007,3:00 p.m.,5/17/2007,7:00 a.m.,Southeastern Michigan,RFC,Severe Thunderstorms,500,"66,000"
5/16/2007,6:00 p.m.,5/19/2007,5:00 a.m.,All of Connecticut,NPCC,Severe Storm,-,"67,000"
5/21/2007,1:48 p.m.,5/21/2007,4:50 p.m.,"San Franscisco Bay Area, California",WECC,Unit Tripped,140,-
6/1/2007,1:00 p.m.,,,Restricted Hydroelectric Capability,WECC,Fuel Supply Deficiency,-,-
6/5/2007,10:56 a.m.,6/5/2007,11:51 a.m.,Southwest Idaho and Eastern Oregon,WECC,Load Shedding,424,"80,000"
6/27/2007,3:41 p.m.,6/27/2007,4:30 p.m.,"Northern Manhattan NY (Yorkville) and SW Bronx (Motthaven, Melrose, High Bridge Sections)",NPCC,Lightning,460,"137,000"
6/27/2007,3:42 p.m.,6/27/2007,4:30 p.m.,New York State,NPCC,Loss of Load,460,-
6/29/2007,9:23 a.m.,6/29/2007,10:09 a.m.,Metropolitan Phoenix Area,WECC,Loss of Load,399,"98,700"
7/3/2007,10:59 a.m.,7/5/2007,6:00 p.m.,CAISO Controlled Grid,WECC,Public Appeal,N/A,N/A
7/5/2007,7:00 p.m.,7/8/2007,7:00 a.m.,Southeastern Michigan,RFC,Severe Storm,-,"69,000"
7/6/2007,5:18 p.m.,7/6/2007,6:20 p.m.,Southeast Idaho and Eastern Oregon,WECC,Electrical Separation/Load Shedding/Made Public Appeal,60,0
7/10/2007,11:00 a.m.,7/12/2007,6:00 a.m.,Eastern New York,NPCC,Major Storms,650,"300,000"
7/16/2007,4:17 p.m.,7/16/2007,9:00 p.m.,"St. George, Utah",WECC,Fire/Load Shedding,306,-
7/18/2007,6:00 p.m.,7/19/2007,2:00 a.m.,Northern Counties of Illinois,RFC,Severe Weather,300,"135,000"
7/19/2007,3:00 p.m.,7/12/2007,11:30 p.m.,Southwestern Region of Service Territory,RFC,Major Storm,-,"60,000"
7/19/2007,3:50 p.m.,7/19/2007,10:15 p.m.,"North, East and Central Virginia",SERC,Major Storms,72,"107,000"
8/8/2007,1:00 p.m.,8/8/2007,9:00 p.m.,Portions of North Carolina and South Carolina,SERC,Made Public Appeal,N/A,N/A
8/8/2007,3:56 p.m.,8/8/2007,5:59 p.m.,Mid-Altantic Region of PJM,RFC,Voltage Reduction/Made Public Appeal,N/A,N/A
8/9/2007,12:45 p.m.,8/9/2007,9:00 p.m.,Portions of North Carolina and South Carolina,SERC,Made Public Appeal,N/A,N/A
8/9/2007,2:53 p.m.,8/9/2007,4:11 p.m.,"Highland Area of Pittsburgh, Pennsylvania",RFC,Severe Thunderstorms,90,"55,000"
