Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected
1/1/2023,12:06 AM,1/1/2023,3:57 AM,California: Riverside County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
1/1/2023,9:55 AM,1/1/2023,10:30 AM,California: Sacramento County;,WECC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
1/1/2023,2:47 PM,1/1/2023,4:50 PM,Florida: Citrus County;,SERC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,19,3509
1/2/2023,4:12 PM,1/3/2023,9:30 AM,Texas: Dallas County;,TRE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
1/2/2023,3:16 AM,1/2/2023,4:46 PM,New Mexico:,WECC,Physical attack that causes major interruptions or impacts to critical infrastructure or to operations,Vandalism,432,0
1/2/2023,6:22 PM,1/2/2023,10:27 PM,Arkansas: Union County; Louisiana: Ouachita Parish;,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Severe Weather,20,6849
1/3/2023,11:45 AM,1/3/2023,12:00 PM,Michigan: Ingham County;,RF,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
1/5/2023,8:19 AM,1/5/2023,8:20 AM,Louisiana: Concordia Parish;,SERC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,Transmission Interruption,23,1631
1/5/2023,7:30 AM,1/5/2023,9:30 AM,Washington: Lewis County;,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
1/6/2023,9:30 AM,1/6/2023,11:30 AM,Ohio: Sandusky County;,RF,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,Unknown,Unknown
1/7/2023,10:00 PM,1/8/2023,9:00 PM,California: Sacramento County;,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,458,185434
1/7/2023,11:44 PM,1/8/2023,2:29 AM,"Texas: Jasper County, Tyler County;",TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,20,9823
1/8/2023,6:40 PM,1/8/2023,6:54 PM,Texas: Bowie County;,TRE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
1/12/2023,10:00 AM,Unkonwn,Unknown,California: Sacramento County;,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
1/12/2023,2:00 PM,1/13/2023,3:00 AM,Alabama: Georgia:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,1158,162000
1/12/2023,11:58 AM,1/12/2023,12:30 PM,Washington: King County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,Unknown,Unknown
1/13/2023,12:00 AM,1/13/2023,1:00 AM,Texas: Fayette County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
1/19/2023,11:00 AM,1/19/2023,1:00 PM,South Carolina: Sumter County;,SERC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,Unknown,Unknown
1/20/2023,10:45 AM,Unknown,Unknown,Michigan: Oakland County;,RF,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,Unknown,0
1/23/2023,7:05 AM,1/24/2023,5:17 PM,Connecticut: Rhode Island: Massachusetts: Vermont: New Hampshire: Maine:,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,41000
1/23/2023,5:00 PM,Unknown,Unknown,California: Sacramento County;,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,Unknown,Unknown
1/23/2023,9:21 AM,Unknown,Unknown,California: Sacramento County;,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,Unknown,Unknown
1/24/2023,2:00 PM,1/24/2023,3:00 PM,Louisiana:,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
1/24/2023,5:10 PM,1/24/2023,5:20 PM,New York: Queens County;,NPCC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
1/24/2023,3:25 PM,1/26/2023,8:20 PM,Texas: Harris County;,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,100731
1/25/2023,10:30 PM,1/26/2023,12:01 AM,Washington: Kitsap County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,0,0
1/25/2023,3:57 PM,1/25/2023,5:38 PM,Texas: Cameron County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
1/25/2023,3:30 AM,1/25/2023,1:00 PM,Arkansas: Texas: Louisiana: Mississippi:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,60958
1/26/2023,7:00 AM,1/26/2023,2:46 PM,Washington: King County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
1/28/2023,4:00 AM,1/28/2023,5:00 AM,Illinois: Franklin County;,SERC/RF,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Suspicious Activity,0,0
1/29/2023,8:19 AM,1/29/2023,11:07 AM,Kentucky:,SERC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
